review_id,user_id,business_id,stars,useful,funny,cool,text,date,latitude,longitude,address,state,city,postal_code,categories,Restaurants,Food,Both(food_restaurants),Restaurants_Food,Shopping,Hotels,Entertainment,Industry,name
CVX___i1gvgicAaQfVM1cA,CbNsNH3eA48Ipg6B-p0uNQ,ICdoTODBaprN0UReete9VQ,4,0,0,0,"Second time to visit and the high quality food held up.

First visit I tried the smoked turkey, good smoke flavor and moist.  I also had to try the brisket, was impressed that they asked if I wanted lean or fatty brisket.  I chose the fatty brisket as it would hopefully have more flavor.  Was not disappointed, just the right amount of marveling, great mesquite smoke flavor and a hearty bark on the edges.

This second trip I had to try the brisket again to check for consistency, and I really enjoyed again.  Had a couple slices of the tri-tip and that too was good.  My only let down so far was the beef rib.  Flavor was good, but they were borderline chewy and were mostly bone ... these were not the heavy duty beef ribs that you get in the hill country of Texas... Or the beef ribs that Rollin Smoke is serving up here in Vegas.

I'll have go back and try the baby back ribs next time.  Can't wait!",6/8/2016 5:40,36.04366272,-115.2418809,"7960 S Rainbow Blvd, Ste 8000A",NV,Las Vegas,89139,"Filipino, Restaurants, Breakfast & Brunch, Food, Street Vendors",Restaurants,Food,1,Restaurants_Food,,,,Restaurants_Food,Kulinarya Express Filipino Kitchen
lQR0O-Cact0dZ5nc9t_H5w,Bk6msgE9GIWuiUPo-LqwhA,vnvQ0lD9MDje2DFde9PKQA,4,2,1,1,"I would give 5 stars because this place is absolutely amazing and I've been here before, but it lost a star because of the terrible Internet service and cellphone reception. 
The room was AMAZING, beds were AMAZINGLY comfortable, the staff was AMAZING... The wifi SUCKED!
There was absolutely no cellphone or Internet reception in the building, which forced us to purchase the wifi package for our stay- which absolutely sucked! EVERY TIME we used our phones we had to log in with ththe password. And even then, the service was bad. It hardly ever worked and when it did, it was slow. The only thing that worked well on the wifi was my laptop, but cell phones - forget it!
Other than that, I LOVE the Elara",6/30/2015 21:50,36.125722,-115.196053,4205 Spring Mountain Rd,NV,Las Vegas,89102,"Local Flavor, Restaurants, Food Stands, Street Vendors, Food, Arts & Entertainment, Festivals, Performing Arts",Restaurants,Food,1,Restaurants_Food,,,Entertainment,Restaurants_FoodEntertainment,Chinese New Year Celebration
VM9T7j-kCAFca8h5Q8eRbw,4LbWbATVK-ybc8vGMOMNhA,oVrvzUJczq0e2JzVxSTyag,3,0,0,0,I really thought this show would be better. It didn't have as many acrobatic moves as I expected. I sat on the top level on the 2nd or 3rd row. The view was a liitle obstructed though and I didn't really feel part of the crowd. At least the show was comped.,9/4/2016 12:07,36.0479423,-115.2441671,"7729 S Rainbow Blvd, Ste 9B",NV,Las Vegas,89139,"Sandwiches, Shaved Ice, Coffee & Tea, Desserts, Cafes, Themed Cafes, Shaved Snow, Food, Bubble Tea, Juice Bars & Smoothies, Restaurants",Restaurants,Food,1,Restaurants_Food,,,,Restaurants_Food,Loftti Cafe
jfeD-s7awfbNKikQeRaKJQ,awQhT121Pe0R33sukfTyuA,8yiLVWzJyyTEhYE0fVNvlA,4,0,0,0,"Good food, Good service.  Not a ton to say that hasn't really been said already...

The free shit that they bombard you with is plenty to fill up on, and it's all delicious. Though, I've been here a few times, always hoping and anticipating something different, though it never is.  Many of the specials are the same, (though, perhaps Its because I find myself in Vegas at the beginning and end of summer, more than any other season, so perhaps its just dependent on what's in season... That's a fair thought, right?)

I have genuinely enjoyed every meal that I've had here, and typically shove too much food in my face.  It's all very flavorful.

The complaint that I would have with this place, is that their wine menu is stupid expensive... Their mark-up on them is astronomical... Probably 500%+, But, I can accept that, getting hunks of parm, bruschetta, zuccini, mussels, grappa, a selection of breads, salamis, and whatever else I may be forgetting, as compliments of the house.  They have to pay for the free shit, somehow...",5/23/2011 22:21,36.003464,-115.117693,3019 St Rose Pkwy,NV,Henderson,89052,"Delis, Restaurants",Restaurants,,1,Restaurants_Food,,,,Restaurants_Food,Jason's Deli
O7A92KHsZBAmzWDStPfJ2A,46QC7oPDv4dw-lkN9B1eCg,OOHDPE3tilNC4md8Lcx_4Q,5,0,0,0,"Ever since I was maybe around 10, I've been going to eat here, and my parents even longer! The customer service is great and everyone is so kind! This is definitely my favorite Thai food place of all time! The buffet is cheap and all the food is delicious, my favorites are definitely the pad thai and the different curry they serve. I'll definitely keep coming here forever :)",7/20/2018 7:15,36.080542,-115.146459,5757 Wayne Newton Blvd,NV,Las Vegas,89119,"Restaurants, Mexican",Restaurants,,1,Restaurants_Food,,,,Restaurants_Food,Blue Burrito Grille
unupdqm9iE4EiLU-o6rVOw,bqJNDwrpF-vULjAVAh_LyQ,P7pxQFqr7yBKMMI2J51udw,4,0,0,0,"We wanted to go to Gordon Ramsey Burger, but the lines were too long, so we ended up grabbing a bite a Holsteins instead. 

First of all, the shake is such a great (but also bad) idea! It is so deliciously sinful and packed with the punch. 

Frozen grasshopper - great if you like mint! I really enjoyed the flavor although you can taste the alcohol shot in this.

Cookies and creme - served with a giant ice cream sandwich (who says you cant have dessert before dinner??) and super sweet and delicious. This drink is dangerous since you can barely taste the alcohol in it.

We had the gold standard and the rising sun burger, both delicious and cooked to perfection with a medium rare patty. Portions were definitely on the larger side, considering we finished our shakes so we were struggling to finish our burger. No regrets though! Definitely a satisfying meal :D",5/26/2019 20:08,36.1924287,-115.3101309,9817 Ridge Creek Pl,NV,Las Vegas,89134,"Food, Nightlife, Adult Entertainment, Bakeries, Custom Cakes, Patisserie/Cake Shop",,Food,1,Restaurants_Food,,,Entertainment,Restaurants_FoodEntertainment,Cake Azure
OxYfvSRz6aGhFaJJ967_mQ,VzBoi7n5pee-iLx5dc5BHA,5z1WIr7E9P2CSzyN5seeSA,3,4,0,1,"Sterling has been on my yelp bookmark for very long time. We finally got a chance to go there to celebrate of my mom's 60th birthday. I've read lots good reviews about it and had very high expectation. It took us awhile to realize that Sterling is not a restaurant. It's located inside Bally's steakhouse. I personally prefer to enjoy my Sunday brunch in a bright and open spaced restaurant (so I can enjoy the sunshine). Since Sterling is located inside a traditional steakhouse, I bet you can just imagine how this place is even with all the lights on full blast. Let's talk about food now. Crab claws and legs were very fresh and crab meat was sweet and succulent. Lamb chop was really good! It was tendered and perfectly cooked with their special mint sauce. Caviar that you can get from sushi bar was okay quality. It did meet my expectation since this is AYCE. However, I was very disappointed with the over cooked lobster tail!! I just felt like they could do so much better since this is a Sunday brunch with $90 per person!!! There was nothing really wowed me from dessert bar. But, I did enjoy coffee creme brulee and mixed fruit champagne. Overall, my dinning experience here was just okay and I felt like it's overpriced. I probably wouldn't go back again since there are so many good Sunday brunch places in Vegas.",8/31/2013 0:52,36.09327,-115.175966,3950 Las Vegas Blvd So,NV,Las Vegas,89119,"Restaurants, Cafes, Food, Internet Cafes, Coffee & Tea",Restaurants,Food,1,Restaurants_Food,,,,Restaurants_Food,Starbucks
ZS6qicrVuj46gEqOZMYP0Q,4MXAEr-5b_9BBRS-dXSN8A,x4gWo3XcAJtkOX-boqcV-A,5,0,0,0,"Love CVS this location offers puts customer service in the Pharmacy department. The ladies work together, are polite and help customers quickly. I highly recommend this location.",1/24/2019 8:13,36.10782457,-115.1755318,3720 S Las Vegas Blvd,NV,Las Vegas,89158,"Bars, American (New), Restaurants, Nightlife",Restaurants,,1,Restaurants_Food,,,,Restaurants_Food,She by Morton's
UaY3f8jCULXO1oRaDV1VnQ,x7oWltala19bc4woo958Ag,beuVp5CZxCdNvQIIPBS2rw,5,0,0,0,"Absolutely delicious! Mathew our server was very great and brought out our soup base pretty quick. Great wide selection with the conveyor belt making it convenient to grab anything you want for your own hot pot. Even if you can't grab the item you want, you can just order it from the menu. Joyce, one of the managers, was very hospitable and gracious. Overall, great food, amazing service and great idea for hot pot.",12/9/2016 3:03,36.2138478,-115.2426033,"O' Aces Bar, 3003 N Rainbow",NV,Las Vegas,89108,"Food Delivery Services, Restaurants, Food, Pizza",Restaurants,Food,1,Restaurants_Food,,,,Restaurants_Food,Angelinas Pizza
qGhv5Tl8G3L8p8zGGwQQUQ,WvHOVV6x5b2RoG1PUFzTPg,CZhc8YXdFLhAI4ViC2ERTg,5,0,0,0,"I was just passing by looking for a place to eat , and let me tell you they atmosphere was just right the pictures the paint teen the food was spectacular out then thick Mexican food, usually managers and owners are nowhere to be found but this place we had the pleasure to meet the owner, she greeted us and actually helped out with drinks and she was hilarious, most likely you will hear from me because when I found or find my place i've become a regular!!!",7/25/2019 3:00,36.0724266,-115.2428704,"6365 S Rainbow Blvd, Ste 101",NV,Las Vegas,89118,"Bakeries, Patisserie/Cake Shop, Food, Coffee & Tea",,Food,1,Restaurants_Food,,,,Restaurants_Food,Mg Patisserie and Cafe
TrP71NGJaIjSDvApsw7yGw,o1VNMeDZOGKFb9i3T2DXTA,_eDVVS8wwXcdllaW6nfLyg,5,0,0,0,Loved it! We will definitely come back here! They're friendly and the food is great! Hope it stays that way!,1/7/2018 4:14,36.1958894,-115.060361,5185 E Lake Mead Blvd,NV,Las Vegas,89156,"Mexican, Restaurants",Restaurants,,1,Restaurants_Food,,,,Restaurants_Food,Rubalcabas Taco Shop
QRwDKFmmpFFiKhTZs4Rn6g,z_L9_hvtsZCoYjf6HO27LQ,aQ222ydz_GSRZV66xNt4kQ,5,0,0,0,"Great quality food, excellent service! Everything tasted fresh and delicious, will definitely come back again. Ric Ascano, the manager made sure we had a great time!",11/27/2019 5:02,36.28427383,-115.2873305,6780 N Durango Dr,NV,Las Vegas,89149,"Burgers, Fast Food, Restaurants",Restaurants,Food,1,Restaurants_Food,,,,Restaurants_Food,Burger King
pp9j-gZRs84Ru_Md9hqk8g,zWTGpM4rU2hDRte-b03FmA,1CaM8eIvl41l4f3V-V-cAw,5,0,0,0,Loved this place! So cute inside. Owner was so nice and the food and smoothie was delicious! I'm local so I'll be back soon!,2/19/2018 23:44,36.27869075,-115.1164484,6524 N Losee Rd,NV,North Las Vegas,89086,"Fast Food, Salad, Restaurants, Burgers",Restaurants,Food,1,Restaurants_Food,,,,Restaurants_Food,Carl's Jr of Las Vegas
