review_id,user_id,business_id,stars,useful,funny,cool,text,date,latitude,longitude,address,state,city,postal_code,categories,Restaurants,Food,Both(food_restaurants),Restaurants_Food,Shopping,Hotels,Entertainment,Industry,name
JyxNhk62NjBcfXrfiNu8zg,HK-TlD0yVA_tpTXZxfzu2w,q1rp-QrVnr_0tqH4fl-9zA,5,7,2,2,"I've used Warren's for a local move before and was more than satisfied.. ""tickled to death"" would have been the best description.  A  lot of that had to do with one of their employees who was the hardest worker I've ever seend.

This move was flawless.  I had to do it at a reasonable price so I packed and moved all the boxes in advance.  I told the two guys who showed up that money is tight and asked that they get the big stuff loaded and stop at a certain time.  They were very aware and checked in with me several times on ""want to move?"" ""want to leave this here?""  The bottom line is they got all the big stuff and had time to go back and pack and load some of the smaller straggler items and stayed within timeline.  At the new house they moved just as fast and watched the clock for me.

They were clean, polite and respectful.  No damage. No hassle. My only regret if I didn't have more cash to an impressive level for a job well done.",11/5/2014 2:35,36.2197281,-115.1277255,1015 Sharp Cir,NV,North Las Vegas,89030,"Hardware Stores, Home Services, Building Supplies, Home & Garden, Shopping",,,,,Shopping,,,Shopping,Nevada House of Hose
6G8HVb32vdTzqMtCB0pe7g,BzrZCtiQOxiLc24CtSL5zg,wuQDMDlqM17jQNo0lYQZ7g,5,0,0,0,"Happy hour was awesome!!
We had a set of the chicken tacos, set of steak tacos, fried Mac n cheese and wrapped up with the ""garbage""... all were fantastic as were the staff!  Coming back tomorrow for brunch!",12/2/2016 19:10,36.036703,-115.029929,129 N Gibson Rd,NV,Henderson,89014,"Home & Garden, Shopping, Hot Tub & Pool",,,,,Shopping,,,Shopping,Hot Tub Liquidators
1YUNporuv3roarlATYtruw,PKEzKWv_FktMm2mGPjwd0Q,s2X_2ri_9Krm0xuciKCR-Q,4,3,1,1,"I came here to give it a try and chose the 3 course Prix fixe menu which consists of an appetizer, a main course, and a dessert.  I was surprised by how small the restaurant was inside.  There's more seating in the hallway that leads to the rear tower of the Tropicana Hotel.  I decided to eat inside because there had been a whole lot of people rolling suitcases down that hall and I wanted a little more quiet. The restaurant inside is almost all white.

The bread basket was brought quickly.  A couple of things here.  The bread was very dry, stale even, and the mixture of olive oil and balsamic vinegar is just the wrong shape for this dipping sauce.  There's way too much olive oil and the balsamic just sits at the bottom.  The basket had a piece of lavash, some focaccia, a roll, and a slated bread stick.  The star of that basket was the salted bread stick.

For a main course, I got the linguini with Manilla clams in a white wine sauce.  There were 10 clams arranged around the pasta.  This was excellent.  I wanted to drink the sauce left, but I used some of the bread to soak up the white wine sauce and I finished it that way.  For those who don't like salty foods, I could taste a fair amount of salt in the sauce.  I love salt so this was a good thing.  Others need to be warned about that.

For dessert, I got the tiramisu.  This was a very large piece of tiramisu different from what I've generally had, but it was very tasty.  On top was a lot of cocoa powder which set off the sweetness beneath.

The prix fixe menu gives you coffee or tea and a glass of house wine.  I got iced tea and instead of wine, I had a cup of coffee with dessert.  At most places, that would cause fits and an extra charge.  Here it was just fine!

I was going to give Bacio 3.5 stars, but shortly after I was seated, Chef Pellegrino had a meltdown with one of her staff--enough so that most people in the restaurant looked where she was and watched and listened.  She was giving grief to one of her bus people for wasting bread.  The meltdown ended with her saying, ""That costs money.""  She walked out of the restaurant for a few moments and then came back.  The show was worth an extra 1/2 star.  Brava!  The service by all the staff was superb!

I do have one complaint.  The French term for your kind of menu, Chef Pellegrino, is Prix fixe as you well know.  Please don't be lazy and spell it prefix like many people do who have no clue as to the origin of the term.  I know it sounds like prefix but don't succumb to dumbing down your own menu because people don't know.

Chef Pellegrino is very talented.  She was working in the kitchen all the time I was there.  Obviously she cares.  I am sure I'll make a return visit!",5/29/2012 15:45,36.1988346,-115.2064695,"2187 N Decatur, Ste 100",NV,Las Vegas,89108,"Thrift Stores, Shopping",,,,,Shopping,,,Shopping,Jover Art
NBv_XWVu8tfHf8FhXJ7ZmA,NH7iRtK2cW1cB-B4Gf7o1w,hL5tldgv2eLcL-AUnPZ9gA,5,0,0,0,They replaced my water heater at 11:00pm on Christmas Eve. I was so thankful for the great and quick service. Thumbs up!,3/30/2019 2:56,36.17274475,-115.114357,"568 N Eastern Ave, Ste C",NV,Las Vegas,89101,"Nail Salons, Shopping, Hair Salons, Beauty & Spas, Cosmetics & Beauty Supply",,,,,Shopping,,,Shopping,Cindy's Beauty Affair
hQm28W_2L5vdga1MIF0ChQ,WUorn0QGdgh2ggnFwFSGRQ,9sDuZJ5eMwS8Xdm9wLNIOg,1,1,1,0,"This is the worst automotive store.  I purchased one of their discount sticker cards and on all three of my visits they always seem to find something else wrong with the car.  

The first time they told me I need a alignment.  After they did the alignment I looked at the results there was no need and I showed the manager and all he said was ""oh it wasn't that bad"". 

The second time I went with a different car they said I need new brakes and tires.  The brakes had just recently been changed and the tires although worn did not have to be replaced immediately as he made it seem.  

The third time was worst.  It was a different manager this time.  I went for a routine oil change he told me to come out and look at my car.   He showed me some things he recommended I get replaced under the hood.  I told him I did not want to take of that now and I just wanted the free oil change.  He then told me he would not do the oil change because if he did and did not fix the rest of the car he would be breaking the DOT laws and would have to have me tow the car off their property.  Sounded like a bunch of garbage to me so I called their other store on craig street and asked the person on the phone if they have ever heard of such a thing.  He said that sounded ridiculous. 

I ended up taking my car to their boulder hwy location no hassle all I did was dropped off my car and keys came back when they called me and that was it.  

The first thing the pecos shop asks is if you have their sticker card and if you do they start racking up all these other damages on your car.  They wont even work on it.",8/17/2012 16:21,35.9780125,-114.836155,503 Hotel Plz,NV,Boulder City,89005,"Home & Garden, Home Decor, Shopping, Furniture Stores",,,,,Shopping,,,Shopping,Bloom
nH2II26bamIA_5EiPI3XWw,RhUJh95c4w7hlJl0bLYN4w,A4yJu-Nq1n6nuLP6QKZkrw,1,0,0,0,Ive been here twice and never going again. I should of known when they got my order wrong the first time but I gave it another chance and again they didnt give me the condiments that are advertised to come with combo and when I called the manager Julio he had the audacity to question what I actually ordered even after providing him the reciept # so he could look up what I ordered...from my past experience a s a shift leader this is not how I remember proper management to treat customers . I mean. What happened to customers are always right and comping a meal or dessert.,12/9/2016 18:13,36.0886494,-115.2074167,"5580 S Decatur Blvd, Ste 101",NV,Las Vegas,89118,"Shopping, Guns & Ammo",,,,,Shopping,,,Shopping,Marxman Precision Arms
mYSbC9ObbglpGr4wy40fbw,7KsXJ8MvU9VIG78W10s0SQ,P7pxQFqr7yBKMMI2J51udw,4,1,1,2,"Kind of a bummer that we had a late buffet lunch before coming here around 7:30 pm.  Bad idea!  We were meeting up with our friends at Marquee in the evening and were on a quest for a nearby casual place to have dinner.  I'm such a sucker for burgers and puns, so when we stumbled upon this place, I was sold.

The cheddar popcorn they have on the tables (for you to munch on as you peruse the menu) was so addicting!  Do they sell this stuff by the bag??  It's got the crispy texture (like normal popcorn and not the fluffy pirates booty kind).

I was still stuffed from the buffet lunch so I sadly had to opt for the greener pastures salad =(.  I was really bummed out about this since I LOVE my beef.  Boy would I regret it even more later. They were quite stingy on the avocado, but since it was Vegas and also not California, I let that one slide. Not to imply that the salad was bad!  It was actually VERY fresh, and organic too!

My fiancé got the bullgogi burger and it was AMAZING.  It was perfectly seasoned and tasted EXACTLY how it should (the kimchi flavor really came through -- pretty surprising for an American burger joint!) The fried egg was still runny too =)  I actually ended up stealing 4 bites of it from him muhahaha.  We really loved the fact that the sauce wasn't overpowering everything, and that you can still enjoy all the flavors in the burger.  I'm definitely going to get my own next time haha.

Service was superb (also gave great burger and beer recommendations) and prompt.  We were out of there by 8:20 pm, without feeling rushed at all.",9/14/2011 7:00,36.1012471,-115.2257019,"6120 W Tropicana Rd, Ste A-10",NV,Las Vegas,89103,"Shopping, Thrift Stores, Children's Clothing, Baby Gear & Furniture, Fashion",,,,,Shopping,,,Shopping,Kidz Wear
jpzv9clVAFwELOFTT87D8A,89s1vTVm7tO0sOneh_8zBA,ii8sAGBexBOJoYRFafF9XQ,3,0,2,1,Why does this classy hotel have to blast rap music 24/7? 8am drinking coffee in one of the cafes I have to listen to Little Wayne blasted loudly over the speakers. Save this crap music for Bally's.,6/12/2016 13:52,36.1433102,-115.2703795,8225 W Sahara Ave,NV,Las Vegas,89117,"Shopping, Sewing & Alterations, Local Services, Bridal",,,,,Shopping,,,Shopping,Celebrity Tailor & Alterations
Rql9dn24eIFRU036p-00Ow,mJzUio6oOktALoxwsy18bw,oZQhQRDCvhMaOmGcl3FPjg,1,8,0,1,Group of 4 came in for one hour foot massage but two of us started later but all of us finished the same time. Massage was mediocre.  We were going to do a courtesy tip of $5 because for the two that didn't get a full hour but the lady said a minimum tip for an hour massage is $10.  I told her a tip is what we feel is deserved not something that is required.  She said one hour massage is hard work.  I told her to put that requirement in her advertisement and don't call it a tip.  Gave them $10 tips for a $20 service which is basically 50% gratuity.  Told them we were never coming back.,6/22/2014 1:15,36.1359334,-115.1375451,2965 S Maryland Pkwy,NV,Las Vegas,89109,"Furniture Stores, Home Services, Lighting Fixtures & Equipment, Home Decor, Home & Garden, Shopping",,,,,Shopping,,,Shopping,Lamps Plus
tRD1nb5T7z0YxZlQTFLZ1w,9AT7cZq0p43vVTsTTMEKHw,wmId49_BwzfWd3ww6GDMeA,5,0,0,0,Wow. MAKE time in Vegas to get off the strip and enjoy this treasure. The food is remarkable AND the spirits are divine. All the cocktails are memorable but be certain to try the signature Porn Star Martini HERE for the fresh Passion fruit half that sets this place apart and puts it on the map.,2/22/2019 0:15,36.233048,-115.246776,,NV,Las Vegas,89103,"Glass & Mirrors, Windows Installation, Home Services, Shopping, Home & Garden, Kitchen & Bath",,,,,Shopping,,,Shopping,GC Glass
KGT4F_Jvy98v_OoscV6I2Q,s8v5KKrZShVK29M4XP8Q3A,eoHdUeQDNgQ6WYEnP2aiRw,1,0,2,0,"Hopefully the service has improved since I was last here in April 2012. However, I'll never know for sure because I'll never eat another meal here again. Although this Yelp review is over a year later, it's just a cut/paste of a Facebook post I made the day of...

Got seated. Waiter asked for our drinks (water) and we ordered food at the same time. Got water 30 minutes later, only after having to flag someone down because our waiter was never on the dining floor. Got food 10 minutes after the water and wanted refills on our drinks. Didn't see waiter for the next 45 minutes after getting our food. No point in getting a drink refill anymore because our food was finished, so I asked for the check. Received check 20 minutes later. Place my credit card in receipt holder within 30 seconds. Waiter picks up check 20 minutes later. $53 tab. I leave three cent tip out of spite.",5/16/2013 1:46,36.1008769,-115.2445968,"4825 S Rainbow Blvd, Ste 207",NV,Las Vegas,89103,"Cosmetics & Beauty Supply, Eyelash Service, Shopping, Beauty & Spas",,,,,Shopping,,,Shopping,Club Lash
4qWCjtWyu2BInqyGlIb3XA,1d2pXHNeASO3JXrvK0c6ZQ,ICdoTODBaprN0UReete9VQ,5,0,0,0,"If you like bbq you will be in heaven in this place. The baby back ribs fall off the bone. You get 2 very nice sized portions as well. I have got the potato salad, baked beans and mac and cheese before. All of them are amazing! The staff is very friendly and always has a smile on their face. I really appreciate that. The first time my wife and I came into this place the owner Big B came up to us and introduced himself. Very nice guy. This place has become a Friday night destination for my wife and I. Keep up the great work! One note, you will smell like you've been camping by a campfire after you walk out of that place because they smoke all the food right in the restaurant. It's a great smell for people who love the outdoors.",7/4/2018 2:43,36.0836806,-115.1476115,6767 Wayne Newton Blvd,NV,Las Vegas,89119,"Shopping, Jewelry",,,,,Shopping,,,Shopping,Fire CZ
ZYzSsSY8ibLp9aE562tV9A,RcknBFqe86qD-SWjebD0rg,OVczZ1qHXc3bjDprNvCKBQ,5,0,0,0,Really fast and helpful service! They're also a lot cheaper than other phone repairs services.,12/20/2017 23:38,36.159339,-115.143676,815 S 7th St,NV,Las Vegas,89101,"Optometrists, Health & Medical, Eyewear & Opticians, Shopping",,,,,Shopping,,,Shopping,"William F Harvey,OD"
Dp6RPiOnxiwPO9P5CoCe5g,c4X98db9oXuRosDXhg8Ucg,#NAME?,2,0,0,0,"We were there for last three years for convention.  For $36 a dinner buffet is in a high end price but the food is not that great.
you can find a better buffet for that price.",6/5/2013 20:35,36.022029,-115.085878,2220 Village Walk Dr,NV,Henderson,89012,"Event Planning & Services, Arts & Crafts, Flowers & Gifts, Cards & Stationery, Shopping",,,,,Shopping,,,Shopping,Amy's Hallmark
WyArQniRoHYUSQhjsnfQNA,oKpUbrwoNGEb1HkC53gAEg,N95IG-T9bbR2iNL9_an1SQ,5,1,0,1,Cruising by and happened to stop in. It exceeded all of my expectations. The space is clean and comfortable. Service is really nice and helpful. The tacos are fantastic and possibly some of the best I've had in Las Vegas so far. The ingredients are obviously high quality. The menu has a good mix of traditional and innovative flavors. Definitely coming back to try more of the menu.,11/17/2017 21:13,36.1453333,-115.2778317,,NV,Las Vegas,89117,"Electronics Repair, Local Services, Printing Services, Shopping, Office Equipment, Computers, IT Services & Computer Repair",,,,,Shopping,,,Shopping,Sunrise Office Systems
LY3L9j-8utGeddsSm1Tdhw,UgMW8bLE0QMJDCkQ1Ax5Mg,Z3Qm1LzmHTnL3bC-7SIwlA,4,2,1,0,I know some folks are giving this spot a thumbs down because they don't take credit cards but the gas prices are sweet. Usually I go fill up at Costco but its always a parking lot so discovered this new spot with almost identical prices and no huge line.  The place is pretty clean inside staff varies between polite & bleh. But in the end makes my wallet happy.,10/27/2015 8:12,36.2475975,-115.2901945,4769 Rancho Camino Ct,NV,Las Vegas,89129,"Home Services, Landscaping, Shopping, Nurseries & Gardening, Home & Garden, Landscape Architects, Tree Services, Gardeners, Irrigation",,,,,Shopping,,,Shopping,American Sprinkler Landscape
04g4YwoVBHNYTP9C38HG4g,fiQ33cQ0YjtV1wIVj9GPPA,szWfpLdcJVrpqVJQA3fhJw,5,1,0,0,"My wife and I were in Vegas earlier last year and we wanted to do something different. We did an ATV tour in Hawaii and had a great time so we thought this would fit the bill. We both drove the Ace 900's (I think?) and it was quite thrilling!...much faster than the ones in Hawaii.

Tons of FUN! The equipment is in safe and fast, the guides are knowledgeable, friendly and made sure everyone in the group stayed safe.

 Two thumbs up would definitely recommend this tour!",2/16/2018 17:40,36.043319,-115.2430625,"7960 S Rainbow Blvd, Ste 8000E",NV,Las Vegas,89139,"Shopping, Appliances & Repair, Local Services, Appliances, Home & Garden",,,,,Shopping,,,Shopping,Vegas Vacuum & Sewing
qUrWS4ZBS9mv-IQfWLfmvg,lKlxzpRTvMrUTWvUaVlIHA,0TljdWRIDQzlp4siHQ_BAQ,5,0,0,0,Today the best experience ever food was awesome and service was great!!! They were busy but quick!!! I loved mrs Pamela enthusiasm and her beautiful smile and how she helped her customers. She wasn't my waiter but just observing her was phenomenal.,9/17/2017 18:42,36.08433896,-115.2423203,"6875 W Russell Rd, Ste 100",NV,Las Vegas,89118,"Drugstores, Pharmacy, Shopping, Health & Medical",,,,,Shopping,,,Shopping,Vip Pharmacy
Kt3eWV0c-nymw3QRmJtTYg,3ANfEGkIKu3JNqIEHc6h2A,NvKNe9DnQavC9GstglcBJQ,4,0,0,0,"Open 24 hours? Ka-Ching!

Grand Lux is very similar to Cheesecake Factory in style and portions. (i think they are owned by Cheesecake in fact)

the food is good with a wide selection to appease anyones cravings, decent prize, and a large portion. not much more you can ask for. and did i mention theyre always open! great place to go after a late night of drinking.",4/26/2010 5:05,36.128193,-115.172904,"3200 Las Vegas Blvd S, Ste 1145",NV,Las Vegas,89109,"Women's Clothing, Fashion, Men's Clothing, Shopping, Used, Vintage & Consignment",,,,,Shopping,,,Shopping,Boutique Talulah
N_gAiq0VxtgWwLkkKb93WA,n_o_EW_TFYBzlKMfTV58zA,j06vAL0fmcB0WQKnY3Yr_A,5,0,0,0,"Excellent. I came into their shop with a free oil change coupon that I had. Even though I wasn't spending any money their service was incredible. They were very polite, hospitable, clear with what they were doing, and thorough. My car was apparantly in great condition and they didn't try to push any parts or services on me, as many auto repair shops do. They did not charge me for disposal, or taxes, so my free oil change was ACTUALLY FREE! I highly recommend that if you need any services for your car done, you choose this shop specifically, I know in the future I will be coming here for all my service needs. I can say with confidence that they are the most honest, efficient, and service oriented business (in this field at least) that I have ever dealt with.",5/11/2013 20:14,36.0252974,-115.1179043,9040 S Eastern Ave,NV,Las Vegas,89123,"Home & Garden, Tree Services, Home Services, Shopping, Nurseries & Gardening, Landscaping",,,,,Shopping,,,Shopping,Moon Valley Nurseries Tree Service
8Cz7H2cvAnANXmtgi-jYgg,7gE4Iw7k0wswZmMyxi46nw,fp1FHxU_CCLbiEhmEew7Tw,5,0,0,0,"We are from Tucson and stop in Las Vegas about once a year on our way home from California so our dog is with us. Anyway, because we are from out of town we were unable to do a pre-stay mtg and they were very accommodating and helpful. Our dog has stayed there at least 3 times now and really has a great time each visit. They dont mind when I call to check on her and would recommend them to anyone.",8/20/2013 17:46,36.1220157,-115.1696498,3377 Las Vegas Blvd S,NV,Las Vegas,89109,"Fashion, Accessories, Women's Clothing, Shopping",,,,,Shopping,,,Shopping,Marshall-Rousso
ZfbN1oeFIKTqIgp7ympEfw,GuHtsG1knTHcuVE4IgAnUQ,BI3kK6a6ko6yfz9TviQ7Aw,1,3,1,0,"Save your money! I paid $100/night  for a tiny, filthy, gross room! Check in alone took over 2 hours! The little girls at the front desk have no clue what they're doing and they're extremely rude! The building is ghetto looking and the pool is not in working condition. Check in to the super eight! DO NOT STAY HERE!",12/17/2013 2:58,36.15007365,-115.3332531,1985 Festival Plz Dr,NV,Las Vegas,89135,"Local Services, IT Services & Computer Repair, Mobile Phones, Electronics, Computers, Shopping",,,,,Shopping,,,Shopping,Apple Store
8-f6rg5MInSI7ocDwLqujQ,#NAME?,8_QKutB_FqV05o38ySEG7A,1,0,0,0,"Horrible. There were bed bugs! Refused to give refund because they have a ""no refund policy"" everything seemed like it was falling apart. Worse experience ever.",5/22/2017 22:37,36.1510665,-115.3336721,1875 Festival Plaza Dr Ste,NV,Las Vegas,89135,"Arts & Entertainment, Paint & Sip, Shopping, Arts & Crafts, Team Building Activities, Event Planning & Services",,,,,Shopping,,Entertainment,ShoppingEntertainment,Corks N Crafts
